"id","sessionID","time","type","name","level","result"
"19","1","2015-11-28 00:42:25","page","Kezdőlap","",""
"20","1","2015-11-28 01:01:38","page","Kezdőlap","",""
"21","1","2015-11-28 01:01:41","page","Természetes számok","",""
"22","1","2015-11-28 01:01:43","exercise","Természetes számok kérdése","1/1",""
"23","1","2015-11-28 01:01:45","exercise","Természetes számok kérdése","1/1","WRONG"
"24","1","2015-11-28 01:01:47","exercise","Természetes számok kérdése","1/1",""
"25","1","2015-11-28 01:01:50","exercise","Természetes számok kérdése","1/1","WRONG"
"26","1","2015-11-28 01:01:51","exercise","Természetes számok kérdése","1/1",""
"27","1","2015-11-28 01:01:53","exercise","Természetes számok kérdése","1/1","CORRECT"
"28","1","2015-11-28 01:01:54","page","Kezdőlap","",""
"29","1","2015-11-28 01:15:39","page","Kezdőlap","",""
